idx,requirement,true_vector,ai_response,pred_vector,accuracy,completion_tokens,prompt_tokens,total_tokens
419,"In the event of understeer, the system must adjust power distribution and braking to aid in returning to the intended path","[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,774,789
420,The vehicle shall employ measures to prevent skidding or provide controlled skid recovery using traction control systems,"[0,0,0,1,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,769,784
421,"The vehicle shall maintain stability during lateral movements, especially during sudden maneuvers, by activating appropriate stability controls","[0,0,0,1,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,769,789
422,Stability control systems must be responsive during cornering to counteract any excessive torsional force that may upset vehicle balance,"[0,0,0,1,0,0]","Vector: [0, 0, 0, 0, 1, 0]","[0,0,0,0,1,0]",False,20,773,793
423,Traction control systems must adapt to varying road surfaces to maintain tire grip and vehicle control,"[0,0,0,1,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,767,782
424,The vehicle's electronic systems must manage weight transfer during dynamic maneuvers to maintain stability,"[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,765,780
425,The vehicle must remain maneuverable under conditions of torsional stress such as rapid turns or evasive actions,"[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,770,785
426,The vehicle control system shall predict and preemptively adjust to changes in vehicle handling due to changes in center of gravity or dynamic behavior,"[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,775,790
427,The vehicle's onboard systems must continuously analyze dynamic behavior and adjust stability and traction controls accordingly,"[0,0,0,1,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,767,782
428,"During cornering, the vehicle shall distribute forces in a manner that maximizes tire grip and minimizes the risk of skidding or sliding","[0,0,0,1,0,0]","Vector: [0,1,1,0,0,0]","[0,1,1,0,0,0]",False,15,777,792
429,The thresholds for stability control activation must be set based on the vehicle's specific behavior and dynamics profiles,"[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,769,784
430,"In emergency maneuvers, the vehicle must engage stability and traction controls to assist the driver in maintaining control","[0,0,0,1,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,769,784
431,The vehicle must monitor tire grip levels and adjust vehicle dynamics to prevent loss of traction,"[0,0,0,1,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,766,781
464,Accelerometers must be integrated with yaw rate sensors to enhance detection accuracy of vehicle rotation around the vertical axis,"[0,0,0,1,0,0]","Vector: [1,0,0,1,0,0]","[1,0,0,1,0,0]",False,15,770,785
497,The system must detect potential rollover conditions and initiate preventive measures within a time frame that effectively mitigates rollover risk,"[0,0,0,1,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,773,788
523,The steering system must adjust the torque assist based on the vehicle's speed to ensure appropriate steering feedback and control,"[0,0,0,0,1,0]","Vector: [0, 0, 0, 0, 1, 1]","[0,0,0,0,1,1]",False,20,771,791
526,The design of the steering system must maintain its integrity and functionality under the expected range of vehicle weights and loading conditions,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,772,792
530,"The steering system must perform consistently across a range of environmental conditions, including temperature extremes and humidity","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,768,788
531,Critical steering system components must have redundancy to ensure steering control is maintained in the event of a single-point failure,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,771,791
539,"The steering system should adapt the steering feel according to the driving mode selected (e.g., comfort vs. sporty)","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,773,793
540,"The system must adjust steering sensitivity in real-time based on vehicle speed, steering angle, and driver input","[0,0,0,0,1,0]","Vector: [1, 1, 0, 0, 0, 1]","[1,1,0,0,0,1]",False,20,770,790
541,Steering response must be precise and proportional to the input from the steering wheel within a defined tolerance,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,769,789
546,The steering system must have a redundant mechanism to maintain steering control in the event of a single point of failure,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,771,786
547,"The steering system must maintain optimal feedback and performance under various environmental conditions, including temperature and humidity extremes","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,769,789
548,The steering system should be capable of providing haptic feedback to alert the driver of potential hazards or system states,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,771,786
549,Steering feedback should be calibrated to account for varying load conditions in the vehicle,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,765,785
550,Transitions between different levels of power steering assistance must be smooth and seamless to the driver,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,767,787
552,"The power steering system should allow drivers to customize steering feedback settings according to personal preference, within safety limits","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,770,790
555,"The variable assist power steering should adjust the level of steering assistance based on vehicle speed, steering angle, and driver input promptly and accurately","[0,0,0,0,1,0]","Vector: [0,1,1,0,1,0]","[0,1,1,0,1,0]",False,15,776,791
557,The EPS motor must have built-in overload protection to prevent damage during extreme operating conditions,"[0,0,0,0,1,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,766,781
560,"In the event of a power steering failure, the system must ensure that manual steering is still possible, although with increased effort","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,774,794
561,The PSCU must maintain constant communication with other vehicle safety systems (like ABS and ESC) to ensure integrated vehicle control,"[0,0,0,0,1,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,774,789
564,The power steering system should provide consistent haptic feedback that does not deteriorate over time or with system aging,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,771,791
565,The software governing the PSCU must be updatable with secure measures in place to prevent unauthorized access or tampering,"[0,0,0,0,1,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,773,788
572,The response of the steering system to sensor input must not exceed a specified time limit to ensure timely intervention by ESC and Lane Keeping Assist systems,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,777,797
583,The steering column must be inspected for structural integrity and the absence of excessive play at specified service intervals,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,769,784
586,A comprehensive steering system inspection protocol must be established and followed during each scheduled maintenance service,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,766,781
588,A lubrication schedule for the steering system must be strictly followed to ensure the longevity and smooth operation of moving components,"[0,0,0,0,1,0]","Vector: [0, 0, 0, 0, 0, 0]","[0,0,0,0,0,0]",False,20,772,792
591,"In case of steering system electronic failures, the system must ensure the retention of emergency manual steering control","[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,769,789
594,The system should record steering performance data to aid in troubleshooting and predictive maintenance,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,764,784
596,Implement periodic vibration analysis for steering components to identify early signs of wear or misalignment,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,766,786
598,The steering wheel design shall comply with ergonomic standards for the majority of driver anthropometrics to ensure accessibility and control,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,771,786
599,The steering wheel shall be made of materials and textures that promote comfort during prolonged periods of use,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,768,783
600,The material used for the steering wheel grip shall maintain its integrity and properties under prolonged use and environmental exposure,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,770,785
602,The system shall provide immediate and proportional response to driver input through the steering wheel,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,765,785
603,The steering wheel shall minimize transmission of excessive vibration to the driver during normal vehicle operation,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,766,781
604,The steering wheel shall include a system to communicate safety-critical alerts to the driver through tactile or visual signals,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,771,786
605,"The steering wheel shall offer a range of adjustability to accommodate different driver preferences and sizes, maintaining ergonomic positioning","[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,771,786
608,The steering wheel and associated components shall be designed to be easily cleanable and maintainable without degrading functionality or comfort,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,773,788
610,The steering wheel surface shall not exceed specific temperature thresholds under normal operating conditions to prevent discomfort or harm to the driver,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,772,787
617,EPS must function correctly within the full range of operational temperatures and conditions specified by the manufacturer,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,767,787
620,The system must adapt the steering force required in response to vehicle speed and driving conditions,"[0,0,0,0,1,0]","Vector: [0, 0, 0, 0, 1, 1]","[0,0,0,0,1,1]",False,20,766,786
621,The steering system must respond to driver input within a specified timeframe to ensure timely steering assist,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,767,787
622,Implement a monitoring system to continually assess steering performance and report any degradation or failure in real-time,"[0,0,0,0,1,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,768,783
623,The steering system must include comprehensive diagnostic capabilities to detect and signal any malfunction,"[0,0,0,0,1,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,764,784
624,The system must enable a manual override allowing the driver to steer without assist in case of system failure,"[0,0,0,0,1,0]","Vector: [0,1,0,0,1,0]","[0,1,0,0,1,0]",False,15,769,784
731,Steering assistance must vary proportionally to the vehicle's cornering speed as influenced by the accelerator pedal position to provide optimal driver feedback and control,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,778,793
734,"There must be a limitation on the steering angle at high cornering speeds, which is influenced by the rate of acceleration, to prevent loss of control","[1,1,0,0,0,0]","Vector: [1,0,0,1,0,0]","[1,0,0,1,0,0]",False,15,779,794
736,The system should learn and adapt to recurring track curves to preemptively adjust steering and acceleration for improved cornering performance,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,772,787
737,Steering response must adapt to changes in acceleration pedal position during bends to maintain optimal handling characteristics,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,768,783
740,The system must compensate for crosswinds by adjusting steering angle and acceleration inputs to maintain the intended cornering path,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,772,787
743,The steering system must adapt its response based on the vehicle speed and accelerator pedal input to cater to the demands of track racing,"[1,1,0,0,0,0]","Vector: [1,1,0,0,0,1]","[1,1,0,0,0,1]",False,15,774,789
748,Provide customizable steering angle sensitivity and throttle maps to accommodate different racing techniques and driver preferences,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,766,781
751,The system must feature an emergency override capability that allows the driver to regain manual control over the steering and accelerator pedal in the event of system failure,"[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,778,798
754,The interface between the acceleration pedal and steering system must facilitate heel-and-toe downshifting without compromising vehicle stability,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,772,787
756,"Upon detection of lift-off oversteer, the system shall adjust the steering angle input and modulate the acceleration pedal to regain control and prevent spin-out","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,780,800
757,"Throttle pedal sensors must provide sensitive input for throttle lift actions to allow for fine control of vehicle dynamics, particularly in steering response","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,775,790
758,The vehicle control system must provide feedback for brake modulation through the acceleration pedal to assist with precise steering inputs,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,770,785
760,"The transition between steering input and acceleration must be smooth to prevent unsettling the vehicle, especially during apex technique execution","[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,771,786
765,The vehicle shall incorporate safety overrides that can intervene if advanced driving techniques like power oversteer or lift-off oversteer compromise vehicle stability,"[1,1,0,0,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,777,792
